ID,basisOfRec,institution,eventTime,year,month,day,decimalLat,decimalLon,scientific_name,name
"8",HUMAN_OBSERVATION,iNaturalist,12:05:00Z,"2016","12","14",-33.767955,151.194561,Menura (Menura) novaehollandiae,lyrebird
"10",HUMAN_OBSERVATION,iNaturalist,16:49:00Z,"2016","12","18",-33.72655,150.317388,Menura (Menura) novaehollandiae,lyrebird
"17",HUMAN_OBSERVATION,iNaturalist,15:37:00Z,"2016","12","18",-33.738086,150.312209,Menura (Menura) novaehollandiae,lyrebird
"115",HUMAN_OBSERVATION,iNaturalist,23:16:00Z,"2016","10","18",-33.644421,150.304156,Menura (Menura) novaehollandiae,lyrebird
"142",HUMAN_OBSERVATION,iNaturalist,21:34:00Z,"2016","10","4",-34.101073,151.048628,Menura (Menura) novaehollandiae,lyrebird
"146",HUMAN_OBSERVATION,iNaturalist,07:28:00Z,"2016","10","20",-34.078547,151.056284,Menura (Menura) novaehollandiae,lyrebird
"154",HUMAN_OBSERVATION,iNaturalist,17:45:00Z,"2016","11","29",-33.730578,150.317696,Menura (Menura) novaehollandiae,lyrebird
"161",HUMAN_OBSERVATION,iNaturalist,,"2016","11","27",-34.084773,151.056846,Menura (Menura) novaehollandiae,lyrebird
"178",HUMAN_OBSERVATION,iNaturalist,07:21:00Z,"2016","10","7",-33.762317,150.237496,Menura (Menura) novaehollandiae,lyrebird
"182",HUMAN_OBSERVATION,iNaturalist,21:59:00Z,"2016","10","17",-33.646548,150.324868,Menura (Menura) novaehollandiae,lyrebird
"194",HUMAN_OBSERVATION,iNaturalist,04:35:00Z,"2016","10","11",-33.635556,150.283611,Menura (Menura) novaehollandiae,lyrebird
"250",HUMAN_OBSERVATION,iNaturalist,18:14:00Z,"2016","11","29",-33.729877,150.317732,Menura (Menura) novaehollandiae,lyrebird
"292",HUMAN_OBSERVATION,iNaturalist,18:19:00Z,"2016","11","29",-33.729833,150.317701,Menura (Menura) novaehollandiae,lyrebird
"299",HUMAN_OBSERVATION,iNaturalist,10:00:51Z,"2016","11","7",-33.731805,150.312862,Menura (Menura) novaehollandiae,lyrebird
"308",HUMAN_OBSERVATION,,,"2016","6","27",-33.647653,151.100064,Menura (Menura) novaehollandiae,lyrebird
"312",HUMAN_OBSERVATION,,,"2016","10","7",-33.731738,150.303253,Menura (Menura) novaehollandiae,lyrebird
"316",HUMAN_OBSERVATION,,,"2016","1","20",-33.733216,150.30168,Menura (Menura) novaehollandiae,lyrebird
"317",HUMAN_OBSERVATION,,,"2016","9","3",-33.717756,150.364926,Menura (Menura) novaehollandiae,lyrebird
"323",HUMAN_OBSERVATION,,,"2016","1","20",-33.725895,150.290246,Menura (Menura) novaehollandiae,lyrebird
"342",HUMAN_OBSERVATION,,,"2016","10","18",-33.644421,150.304156,Menura (Menura) novaehollandiae,lyrebird
"348",HUMAN_OBSERVATION,CLO,,"2016","12","3",-33.73206,150.31532,Menura (Menura) novaehollandiae,lyrebird
"349",HUMAN_OBSERVATION,CLO,,"2016","12","21",-33.688393,151.28128,Menura (Menura) novaehollandiae,lyrebird
"354",HUMAN_OBSERVATION,CLO,,"2016","12","30",-33.688393,151.28128,Menura (Menura) novaehollandiae,lyrebird
"355",HUMAN_OBSERVATION,CLO,,"2016","6","22",-33.7052,150.24112,Menura (Menura) novaehollandiae,lyrebird
"369",HUMAN_OBSERVATION,CLO,,"2016","6","8",-33.729008,150.30266,Menura (Menura) novaehollandiae,lyrebird
"379",HUMAN_OBSERVATION,CLO,,"2016","6","3",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"394",HUMAN_OBSERVATION,CLO,,"2016","6","2",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"398",HUMAN_OBSERVATION,CLO,,"2016","3","5",-33.6575,151.26666,Menura (Menura) novaehollandiae,lyrebird
"401",HUMAN_OBSERVATION,CLO,,"2016","6","30",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"405",HUMAN_OBSERVATION,CLO,,"2016","6","15",-34.436363,150.80817,Menura (Menura) novaehollandiae,lyrebird
"407",HUMAN_OBSERVATION,CLO,,"2016","6","8",-33.38047,151.39877,Menura (Menura) novaehollandiae,lyrebird
"411",HUMAN_OBSERVATION,CLO,,"2016","9","17",-33.701004,151.13336,Menura (Menura) novaehollandiae,lyrebird
"414",HUMAN_OBSERVATION,CLO,,"2016","12","10",-34.30537,150.90544,Menura (Menura) novaehollandiae,lyrebird
"460",HUMAN_OBSERVATION,CLO,,"2016","6","26",-33.73788,150.28358,Menura (Menura) novaehollandiae,lyrebird
"477",HUMAN_OBSERVATION,CLO,,"2016","12","11",-33.64979,151.10193,Menura (Menura) novaehollandiae,lyrebird
"506",HUMAN_OBSERVATION,CLO,,"2016","3","12",-33.72476,150.47543,Menura (Menura) novaehollandiae,lyrebird
"512",HUMAN_OBSERVATION,CLO,,"2016","12","10",-34.30537,150.90544,Menura (Menura) novaehollandiae,lyrebird
"518",HUMAN_OBSERVATION,CLO,,"2016","3","23",-34.30537,150.90544,Menura (Menura) novaehollandiae,lyrebird
"525",HUMAN_OBSERVATION,CLO,,"2016","9","27",-33.38047,151.39877,Menura (Menura) novaehollandiae,lyrebird
"538",HUMAN_OBSERVATION,CLO,,"2016","6","15",-33.77891,150.61821,Menura (Menura) novaehollandiae,lyrebird
"542",HUMAN_OBSERVATION,CLO,,"2016","9","4",-33.732086,150.31194,Menura (Menura) novaehollandiae,lyrebird
"564",HUMAN_OBSERVATION,CLO,,"2016","12","20",-34.132694,151.0339,Menura (Menura) novaehollandiae,lyrebird
"582",HUMAN_OBSERVATION,CLO,,"2016","3","23",-34.11445,151.04665,Menura (Menura) novaehollandiae,lyrebird
"595",HUMAN_OBSERVATION,CLO,,"2016","12","29",-33.675144,150.2691,Menura (Menura) novaehollandiae,lyrebird
"596",HUMAN_OBSERVATION,CLO,,"2016","6","3",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"603",HUMAN_OBSERVATION,CLO,,"2016","6","3",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"608",HUMAN_OBSERVATION,CLO,,"2016","6","15",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"634",HUMAN_OBSERVATION,CLO,,"2016","3","5",-33.54683,150.66032,Menura (Menura) novaehollandiae,lyrebird
"663",HUMAN_OBSERVATION,CLO,,"2016","6","21",-33.715557,150.49889,Menura (Menura) novaehollandiae,lyrebird
"676",HUMAN_OBSERVATION,CLO,,"2016","6","29",-33.36064,151.36996,Menura (Menura) novaehollandiae,lyrebird
"680",HUMAN_OBSERVATION,CLO,,"2016","6","1",-34.07888,151.08398,Menura (Menura) novaehollandiae,lyrebird
"692",HUMAN_OBSERVATION,CLO,,"2016","3","5",-33.38047,151.39877,Menura (Menura) novaehollandiae,lyrebird
"699",HUMAN_OBSERVATION,CLO,,"2016","12","31",-34.398308,150.86214,Menura (Menura) novaehollandiae,lyrebird
"711",HUMAN_OBSERVATION,CLO,,"2016","3","24",-33.77044,150.48866,Menura (Menura) novaehollandiae,lyrebird
"718",HUMAN_OBSERVATION,CLO,,"2016","6","26",-33.77044,150.48866,Menura (Menura) novaehollandiae,lyrebird
"724",HUMAN_OBSERVATION,CLO,,"2016","3","3",-33.38047,151.39877,Menura (Menura) novaehollandiae,lyrebird
"727",HUMAN_OBSERVATION,CLO,,"2016","9","9",-34.40598,150.84596,Menura (Menura) novaehollandiae,lyrebird
"731",HUMAN_OBSERVATION,CLO,,"2016","6","2",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"732",HUMAN_OBSERVATION,CLO,,"2016","3","31",-33.713097,150.31192,Menura (Menura) novaehollandiae,lyrebird
"737",HUMAN_OBSERVATION,CLO,,"2016","3","27",-33.5309,150.65366,Menura (Menura) novaehollandiae,lyrebird
"740",HUMAN_OBSERVATION,CLO,,"2016","12","11",-34.14377,151.027,Menura (Menura) novaehollandiae,lyrebird
"743",HUMAN_OBSERVATION,CLO,,"2016","12","12",-34.144474,151.03185,Menura (Menura) novaehollandiae,lyrebird
"746",HUMAN_OBSERVATION,CLO,,"2016","9","11",-34.14377,151.027,Menura (Menura) novaehollandiae,lyrebird
"747",HUMAN_OBSERVATION,CLO,,"2016","6","13",-34.14377,151.027,Menura (Menura) novaehollandiae,lyrebird
"757",HUMAN_OBSERVATION,CLO,,"2016","12","28",-34.142372,151.03134,Menura (Menura) novaehollandiae,lyrebird
"773",HUMAN_OBSERVATION,CLO,,"2016","3","12",-34.083042,151.05605,Menura (Menura) novaehollandiae,lyrebird
"801",HUMAN_OBSERVATION,CLO,,"2016","6","28",-34.393597,150.67595,Menura (Menura) novaehollandiae,lyrebird
"806",HUMAN_OBSERVATION,CLO,,"2016","3","31",-34.083042,151.05605,Menura (Menura) novaehollandiae,lyrebird
"809",HUMAN_OBSERVATION,CLO,,"2016","3","28",-34.14377,151.027,Menura (Menura) novaehollandiae,lyrebird
"812",HUMAN_OBSERVATION,CLO,,"2016","3","27",-33.7052,150.24112,Menura (Menura) novaehollandiae,lyrebird
"823",HUMAN_OBSERVATION,CLO,,"2016","6","9",-34.30537,150.90544,Menura (Menura) novaehollandiae,lyrebird
"824",HUMAN_OBSERVATION,CLO,,"2016","9","20",-33.701317,151.09291,Menura (Menura) novaehollandiae,lyrebird
"831",HUMAN_OBSERVATION,CLO,,"2016","12","28",-34.142372,151.03134,Menura (Menura) novaehollandiae,lyrebird
"835",HUMAN_OBSERVATION,CLO,,"2016","12","18",-33.728943,150.3016,Menura (Menura) novaehollandiae,lyrebird
"838",HUMAN_OBSERVATION,CLO,,"2016","6","15",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"841",HUMAN_OBSERVATION,CLO,,"2016","3","23",-34.30537,150.90544,Menura (Menura) novaehollandiae,lyrebird
"846",HUMAN_OBSERVATION,CLO,,"2016","6","17",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"849",HUMAN_OBSERVATION,CLO,,"2016","6","13",-33.726704,150.31978,Menura (Menura) novaehollandiae,lyrebird
"852",HUMAN_OBSERVATION,CLO,,"2016","6","8",-33.728943,150.3016,Menura (Menura) novaehollandiae,lyrebird
"853",HUMAN_OBSERVATION,CLO,,"2016","6","2",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"857",HUMAN_OBSERVATION,CLO,,"2016","6","28",-33.726704,150.31978,Menura (Menura) novaehollandiae,lyrebird
"861",HUMAN_OBSERVATION,CLO,,"2016","6","17",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"865",HUMAN_OBSERVATION,CLO,,"2016","3","5",-33.69824,150.4441,Menura (Menura) novaehollandiae,lyrebird
"869",HUMAN_OBSERVATION,CLO,,"2016","6","2",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"872",HUMAN_OBSERVATION,CLO,,"2016","3","9",-34.083042,151.05605,Menura (Menura) novaehollandiae,lyrebird
"885",HUMAN_OBSERVATION,CLO,,"2016","6","18",-33.726704,150.31978,Menura (Menura) novaehollandiae,lyrebird
"905",HUMAN_OBSERVATION,CLO,,"2016","6","26",-33.73788,150.28358,Menura (Menura) novaehollandiae,lyrebird
"907",HUMAN_OBSERVATION,CLO,,"2016","6","28",-33.726704,150.31978,Menura (Menura) novaehollandiae,lyrebird
"915",HUMAN_OBSERVATION,CLO,,"2016","6","11",-33.726704,150.31978,Menura (Menura) novaehollandiae,lyrebird
"931",HUMAN_OBSERVATION,CLO,,"2016","9","27",-34.07888,151.08398,Menura (Menura) novaehollandiae,lyrebird
"940",HUMAN_OBSERVATION,CLO,,"2016","6","8",-33.728943,150.3016,Menura (Menura) novaehollandiae,lyrebird
"950",HUMAN_OBSERVATION,CLO,,"2016","3","5",-34.07888,151.08398,Menura (Menura) novaehollandiae,lyrebird
"964",HUMAN_OBSERVATION,CLO,,"2016","6","3",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"970",HUMAN_OBSERVATION,CLO,,"2016","6","17",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"983",HUMAN_OBSERVATION,CLO,,"2016","12","1",-33.77044,150.48866,Menura (Menura) novaehollandiae,lyrebird
"989",HUMAN_OBSERVATION,CLO,,"2016","6","29",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"995",HUMAN_OBSERVATION,CLO,,"2016","6","30",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"999",HUMAN_OBSERVATION,CLO,,"2016","6","17",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1001",HUMAN_OBSERVATION,CLO,,"2016","9","17",-34.07888,151.08398,Menura (Menura) novaehollandiae,lyrebird
"1004",HUMAN_OBSERVATION,CLO,,"2016","6","15",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1008",HUMAN_OBSERVATION,CLO,,"2016","12","1",-34.139153,151.11449,Menura (Menura) novaehollandiae,lyrebird
"1010",HUMAN_OBSERVATION,CLO,,"2016","12","20",-34.083042,151.05605,Menura (Menura) novaehollandiae,lyrebird
"1015",HUMAN_OBSERVATION,CLO,,"2016","6","26",-33.73788,150.28358,Menura (Menura) novaehollandiae,lyrebird
"1073",HUMAN_OBSERVATION,CLO,,"2016","6","13",-34.293556,150.92863,Menura (Menura) novaehollandiae,lyrebird
"1082",HUMAN_OBSERVATION,CLO,,"2016","9","6",-33.701385,151.14001,Menura (Menura) novaehollandiae,lyrebird
"1093",HUMAN_OBSERVATION,CLO,,"2016","9","28",-34.07888,151.08398,Menura (Menura) novaehollandiae,lyrebird
"1097",HUMAN_OBSERVATION,CLO,,"2016","6","8",-33.728943,150.3016,Menura (Menura) novaehollandiae,lyrebird
"1098",HUMAN_OBSERVATION,CLO,,"2016","9","10",-33.5781,151.30049,Menura (Menura) novaehollandiae,lyrebird
"1109",HUMAN_OBSERVATION,CLO,,"2016","9","28",-34.07888,151.08398,Menura (Menura) novaehollandiae,lyrebird
"1117",HUMAN_OBSERVATION,CLO,,"2016","12","5",-33.887386,150.38617,Menura (Menura) novaehollandiae,lyrebird
"1122",HUMAN_OBSERVATION,CLO,,"2016","9","18",-34.142605,151.03139,Menura (Menura) novaehollandiae,lyrebird
"1132",HUMAN_OBSERVATION,CLO,,"2016","6","9",-34.30537,150.90544,Menura (Menura) novaehollandiae,lyrebird
"1134",HUMAN_OBSERVATION,CLO,,"2016","6","15",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1148",HUMAN_OBSERVATION,CLO,,"2016","6","15",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1151",HUMAN_OBSERVATION,CLO,,"2016","6","19",-33.690987,150.49268,Menura (Menura) novaehollandiae,lyrebird
"1153",HUMAN_OBSERVATION,CLO,,"2016","12","26",-34.30537,150.90544,Menura (Menura) novaehollandiae,lyrebird
"1161",HUMAN_OBSERVATION,CLO,,"2016","6","29",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1166",HUMAN_OBSERVATION,CLO,,"2016","7","3",-33.75554,150.63608,Menura (Menura) novaehollandiae,lyrebird
"1175",HUMAN_OBSERVATION,CLO,,"2016","9","27",-34.07888,151.08398,Menura (Menura) novaehollandiae,lyrebird
"1177",HUMAN_OBSERVATION,CLO,,"2016","9","26",-33.72775,150.36687,Menura (Menura) novaehollandiae,lyrebird
"1188",HUMAN_OBSERVATION,CLO,,"2016","7","10",-33.59589,150.33997,Menura (Menura) novaehollandiae,lyrebird
"1202",HUMAN_OBSERVATION,CLO,,"2016","12","20",-34.083042,151.05605,Menura (Menura) novaehollandiae,lyrebird
"1215",HUMAN_OBSERVATION,CLO,,"2016","3","12",-34.083042,151.05605,Menura (Menura) novaehollandiae,lyrebird
"1233",HUMAN_OBSERVATION,CLO,,"2016","6","1",-33.400276,151.14362,Menura (Menura) novaehollandiae,lyrebird
"1235",HUMAN_OBSERVATION,CLO,,"2016","6","14",-33.658142,150.61934,Menura (Menura) novaehollandiae,lyrebird
"1251",HUMAN_OBSERVATION,CLO,,"2016","12","10",-33.690987,150.49268,Menura (Menura) novaehollandiae,lyrebird
"1271",HUMAN_OBSERVATION,CLO,,"2016","1","8",-33.5309,150.65366,Menura (Menura) novaehollandiae,lyrebird
"1323",HUMAN_OBSERVATION,CLO,,"2016","3","26",-33.71665,151.14397,Menura (Menura) novaehollandiae,lyrebird
"1362",HUMAN_OBSERVATION,CLO,,"2016","3","14",-33.68888,151.15555,Menura (Menura) novaehollandiae,lyrebird
"1368",HUMAN_OBSERVATION,CLO,,"2016","12","9",-33.74258,150.47902,Menura (Menura) novaehollandiae,lyrebird
"1406",HUMAN_OBSERVATION,CLO,,"2016","6","16",-33.658142,150.61934,Menura (Menura) novaehollandiae,lyrebird
"1434",HUMAN_OBSERVATION,CLO,,"2016","6","8",-33.729008,150.30266,Menura (Menura) novaehollandiae,lyrebird
"1436",HUMAN_OBSERVATION,CLO,,"2016","12","26",-34.30537,150.90544,Menura (Menura) novaehollandiae,lyrebird
"1449",HUMAN_OBSERVATION,CLO,,"2016","3","9",-34.083042,151.05605,Menura (Menura) novaehollandiae,lyrebird
"1462",HUMAN_OBSERVATION,CLO,,"2016","7","30",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1463",HUMAN_OBSERVATION,CLO,,"2016","6","17",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1469",HUMAN_OBSERVATION,CLO,,"2016","7","12",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1475",HUMAN_OBSERVATION,CLO,,"2016","6","26",-33.73788,150.28358,Menura (Menura) novaehollandiae,lyrebird
"1481",HUMAN_OBSERVATION,CLO,,"2016","3","9",-34.083042,151.05605,Menura (Menura) novaehollandiae,lyrebird
"1490",HUMAN_OBSERVATION,CLO,,"2016","12","1",-34.07888,151.08398,Menura (Menura) novaehollandiae,lyrebird
"1503",HUMAN_OBSERVATION,CLO,,"2016","6","13",-34.14377,151.027,Menura (Menura) novaehollandiae,lyrebird
"1512",HUMAN_OBSERVATION,CLO,,"2016","6","8",-33.728943,150.3016,Menura (Menura) novaehollandiae,lyrebird
"1526",HUMAN_OBSERVATION,CLO,,"2016","6","8",-33.728943,150.3016,Menura (Menura) novaehollandiae,lyrebird
"1537",HUMAN_OBSERVATION,CLO,,"2016","6","11",-33.779808,150.62286,Menura (Menura) novaehollandiae,lyrebird
"1542",HUMAN_OBSERVATION,CLO,,"2016","12","2",-34.07888,151.08398,Menura (Menura) novaehollandiae,lyrebird
"1544",HUMAN_OBSERVATION,CLO,,"2016","6","24",-33.779808,150.62286,Menura (Menura) novaehollandiae,lyrebird
"1552",HUMAN_OBSERVATION,CLO,,"2016","6","8",-33.729008,150.30266,Menura (Menura) novaehollandiae,lyrebird
"1559",HUMAN_OBSERVATION,CLO,,"2016","6","8",-33.729008,150.30266,Menura (Menura) novaehollandiae,lyrebird
"1568",HUMAN_OBSERVATION,CLO,,"2016","6","11",-34.083042,151.05605,Menura (Menura) novaehollandiae,lyrebird
"1570",HUMAN_OBSERVATION,CLO,,"2016","3","6",-33.79935,150.61871,Menura (Menura) novaehollandiae,lyrebird
"1573",HUMAN_OBSERVATION,CLO,,"2016","6","9",-33.502934,150.27577,Menura (Menura) novaehollandiae,lyrebird
"1592",HUMAN_OBSERVATION,CLO,,"2016","9","6",-34.402718,150.85217,Menura (Menura) novaehollandiae,lyrebird
"1598",HUMAN_OBSERVATION,CLO,,"2016","3","2",-33.72775,150.36687,Menura (Menura) novaehollandiae,lyrebird
"1609",HUMAN_OBSERVATION,CLO,,"2016","12","3",-34.083042,151.05605,Menura (Menura) novaehollandiae,lyrebird
"1610",HUMAN_OBSERVATION,CLO,,"2016","12","26",-33.72775,150.36687,Menura (Menura) novaehollandiae,lyrebird
"1614",HUMAN_OBSERVATION,CLO,,"2016","9","6",-34.402718,150.85217,Menura (Menura) novaehollandiae,lyrebird
"1618",HUMAN_OBSERVATION,CLO,,"2016","7","19",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1623",HUMAN_OBSERVATION,CLO,,"2016","10","29",-33.646706,150.32487,Menura (Menura) novaehollandiae,lyrebird
"1626",HUMAN_OBSERVATION,CLO,,"2016","3","12",-33.72476,150.47543,Menura (Menura) novaehollandiae,lyrebird
"1637",HUMAN_OBSERVATION,CLO,,"2016","3","5",-34.32278,150.89458,Menura (Menura) novaehollandiae,lyrebird
"1639",HUMAN_OBSERVATION,CLO,,"2016","12","29",-33.64771,150.32567,Menura (Menura) novaehollandiae,lyrebird
"1663",HUMAN_OBSERVATION,CLO,,"2016","9","27",-33.70263,150.48076,Menura (Menura) novaehollandiae,lyrebird
"1695",HUMAN_OBSERVATION,CLO,,"2016","6","8",-33.75045,150.46451,Menura (Menura) novaehollandiae,lyrebird
"1726",HUMAN_OBSERVATION,CLO,,"2016","3","8",-33.74258,150.47902,Menura (Menura) novaehollandiae,lyrebird
"1741",HUMAN_OBSERVATION,CLO,,"2016","12","20",-34.132694,151.0339,Menura (Menura) novaehollandiae,lyrebird
"1749",HUMAN_OBSERVATION,CLO,,"2016","6","11",-34.13039,150.98224,Menura (Menura) novaehollandiae,lyrebird
"1750",HUMAN_OBSERVATION,CLO,,"2016","6","17",-34.32278,150.89458,Menura (Menura) novaehollandiae,lyrebird
"1758",HUMAN_OBSERVATION,CLO,,"2016","6","5",-33.328335,151.35167,Menura (Menura) novaehollandiae,lyrebird
"1760",HUMAN_OBSERVATION,CLO,,"2016","6","12",-33.75045,150.46451,Menura (Menura) novaehollandiae,lyrebird
"1771",HUMAN_OBSERVATION,CLO,,"2016","4","24",-34.39651,150.85983,Menura (Menura) novaehollandiae,lyrebird
"1774",HUMAN_OBSERVATION,CLO,,"2016","3","22",-34.334026,150.7459,Menura (Menura) novaehollandiae,lyrebird
"1782",HUMAN_OBSERVATION,CLO,,"2016","12","2",-33.654472,150.31361,Menura (Menura) novaehollandiae,lyrebird
"1784",HUMAN_OBSERVATION,CLO,,"2016","1","3",-33.65937,150.31963,Menura (Menura) novaehollandiae,lyrebird
"1791",HUMAN_OBSERVATION,CLO,,"2016","9","25",-33.72775,150.36687,Menura (Menura) novaehollandiae,lyrebird
"1797",HUMAN_OBSERVATION,CLO,,"2016","7","2",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1821",HUMAN_OBSERVATION,CLO,,"2016","9","12",-34.11445,151.04665,Menura (Menura) novaehollandiae,lyrebird
"1830",HUMAN_OBSERVATION,CLO,,"2016","12","30",-33.59187,150.62595,Menura (Menura) novaehollandiae,lyrebird
"1838",HUMAN_OBSERVATION,CLO,,"2016","1","31",-34.436363,150.80817,Menura (Menura) novaehollandiae,lyrebird
"1846",HUMAN_OBSERVATION,CLO,,"2016","6","14",-33.658142,150.61934,Menura (Menura) novaehollandiae,lyrebird
"1855",HUMAN_OBSERVATION,CLO,,"2016","1","31",-34.436363,150.80817,Menura (Menura) novaehollandiae,lyrebird
"1857",HUMAN_OBSERVATION,CLO,,"2016","6","9",-33.72501,150.30478,Menura (Menura) novaehollandiae,lyrebird
"1861",HUMAN_OBSERVATION,CLO,,"2016","6","14",-33.658142,150.61934,Menura (Menura) novaehollandiae,lyrebird
"1866",HUMAN_OBSERVATION,CLO,,"2016","1","31",-34.436363,150.80817,Menura (Menura) novaehollandiae,lyrebird
"1880",HUMAN_OBSERVATION,CLO,,"2016","6","13",-33.726704,150.31978,Menura (Menura) novaehollandiae,lyrebird
"1881",HUMAN_OBSERVATION,CLO,,"2016","7","28",-33.5309,150.65366,Menura (Menura) novaehollandiae,lyrebird
"1882",HUMAN_OBSERVATION,CLO,,"2016","3","2",-34.11445,151.04665,Menura (Menura) novaehollandiae,lyrebird
"1885",HUMAN_OBSERVATION,CLO,,"2016","4","2",-33.4,151.2,Menura (Menura) novaehollandiae,lyrebird
"1892",HUMAN_OBSERVATION,CLO,,"2016","7","21",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1900",HUMAN_OBSERVATION,CLO,,"2016","7","7",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1908",HUMAN_OBSERVATION,CLO,,"2016","10","19",-33.646706,150.32487,Menura (Menura) novaehollandiae,lyrebird
"1911",HUMAN_OBSERVATION,CLO,,"2016","6","14",-34.11445,151.04665,Menura (Menura) novaehollandiae,lyrebird
"1929",HUMAN_OBSERVATION,CLO,,"2016","4","21",-33.5309,150.65366,Menura (Menura) novaehollandiae,lyrebird
"1931",HUMAN_OBSERVATION,CLO,,"2016","6","8",-34.11445,151.04665,Menura (Menura) novaehollandiae,lyrebird
"1933",HUMAN_OBSERVATION,CLO,,"2016","6","14",-33.658142,150.61934,Menura (Menura) novaehollandiae,lyrebird
"1936",HUMAN_OBSERVATION,CLO,,"2016","10","19",-33.646706,150.32487,Menura (Menura) novaehollandiae,lyrebird
"1949",HUMAN_OBSERVATION,CLO,,"2016","7","21",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"1956",HUMAN_OBSERVATION,CLO,,"2016","6","15",-33.71234,150.59818,Menura (Menura) novaehollandiae,lyrebird
"1967",HUMAN_OBSERVATION,CLO,,"2016","6","28",-33.726704,150.31978,Menura (Menura) novaehollandiae,lyrebird
"1975",HUMAN_OBSERVATION,CLO,,"2016","6","13",-33.726704,150.31978,Menura (Menura) novaehollandiae,lyrebird
"1976",HUMAN_OBSERVATION,CLO,,"2016","4","24",-34.083042,151.05605,Menura (Menura) novaehollandiae,lyrebird
"1985",HUMAN_OBSERVATION,CLO,,"2016","1","31",-34.436363,150.80817,Menura (Menura) novaehollandiae,lyrebird
"1989",HUMAN_OBSERVATION,CLO,,"2016","9","8",-33.621796,151.24724,Menura (Menura) novaehollandiae,lyrebird
"1993",HUMAN_OBSERVATION,CLO,,"2016","6","15",-33.71234,150.59818,Menura (Menura) novaehollandiae,lyrebird
"1998",HUMAN_OBSERVATION,CLO,,"2016","6","26",-33.73788,150.28358,Menura (Menura) novaehollandiae,lyrebird
"2035",HUMAN_OBSERVATION,CLO,,"2016","1","18",-33.690987,150.49268,Menura (Menura) novaehollandiae,lyrebird
"2044",HUMAN_OBSERVATION,CLO,,"2016","7","12",-33.77829,150.39114,Menura (Menura) novaehollandiae,lyrebird
"2050",HUMAN_OBSERVATION,CLO,,"2016","10","31",-33.72026,150.36263,Menura (Menura) novaehollandiae,lyrebird
"2051",HUMAN_OBSERVATION,CLO,,"2016","9","10",-34.07937,151.05484,Menura (Menura) novaehollandiae,lyrebird
"2068",HUMAN_OBSERVATION,CLO,,"2016","1","31",-33.62989,150.40219,Menura (Menura) novaehollandiae,lyrebird
"2072",HUMAN_OBSERVATION,CLO,,"2016","6","11",-33.726704,150.31978,Menura (Menura) novaehollandiae,lyrebird
"2073",HUMAN_OBSERVATION,CLO,,"2016","6","11",-33.66696,151.26204,Menura (Menura) novaehollandiae,lyrebird
